,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,pickup
0,17/05/2022 12:56:05,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:06,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:08,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:09,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:11,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:13,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:14,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:16,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:17,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:19,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:20,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:22,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:23,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:25,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:27,19.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:28,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:30,30.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:31,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:33,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:34,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:36,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:38,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:39,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:41,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:42,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:44,26.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:45,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:47,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:49,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:50,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:52,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:53,21.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:55,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:56,16.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:56:58,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:00,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:01,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:03,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:04,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:06,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:07,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:09,26.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:11,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:12,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:14,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:15,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:17,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:18,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:20,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:22,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:23,18.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:25,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:26,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:28,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:29,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:31,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:32,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:34,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:36,28.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:37,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:39,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:40,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:42,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:43,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:45,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:48,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:50,29.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:51,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:53,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:54,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:56,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:58,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:57:59,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:01,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:02,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:58:04,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
